ID,DRUG,ON_RECEPT,NO_PACKAGES_AVAILABLE,DATE
1,Aspiryna,NIE,112,2027-09-11
2,Paracetamol,NIE,445,2017-11-25
3,Ibuprofen,NIE,358,2019-09-19
4,Amoksycylina,TAK,280,2024-01-28
5,Metformina,TAK,116,2023-08-24
6,Atorwastatyna,TAK,81,2022-03-10
7,Omeprazol,TAK,198,2022-06-22
8,Ramipryl,TAK,30,2019-05-17
9,Losartan,TAK,112,2023-05-19
10,Simwastatyna,TAK,131,2022-05-17
11,Ciprofloxacyna,TAK,476,2028-05-23
12,Deksametazon,TAK,224,2029-02-03
13,Lisinopril,TAK,340,2024-12-06
14,Hydroksyzyna,TAK,468,2018-09-25
15,Fluoksetyna,TAK,97,2020-06-04
16,Warfaryna,TAK,382,2019-07-22
17,Naproksen,NIE,109,2019-03-10
18,Metronidazol,TAK,369,2020-07-31
19,Prednizon,TAK,161,2024-01-16
20,Diclofenac,TAK,140,2021-02-15
21,Clopidogrel,TAK,159,2018-07-30
22,Levotyroksyna,TAK,318,2026-01-12
23,Cetirizine,NIE,267,2022-04-29
24,Loratadyna,NIE,353,2028-11-16
25,Salbutamol,TAK,423,2018-07-06
26,Budesonid,TAK,303,2016-12-10
27,Montelukast,TAK,395,2027-12-28
28,Allopurinol,TAK,201,2027-01-31
29,Cimetydyna,TAK,453,2025-04-06
30,Ranitidyna,TAK,286,2028-02-01
31,Amiodaron,TAK,170,2016-10-25
32,Amlodypina,TAK,469,2020-06-21
33,Bisoprolol,TAK,323,2024-06-07
34,Carvedilol,TAK,31,2025-04-01
35,Clonazepam,TAK,262,2019-02-04
36,Diazepam,TAK,245,2024-01-18
37,Escitalopram,TAK,354,2025-04-21
38,Furosemid,TAK,58,2029-04-29
39,Gabapentyna,TAK,484,2020-01-28
40,Hydrochlorotiazid,TAK,68,2027-10-04
41,Insulina ludzka,TAK,179,2018-07-15
42,Metoprolol,TAK,485,2024-10-21
43,Olanzapina,TAK,197,2024-06-19
44,Oxycodon,TAK,473,2019-06-25
45,Quetiapina,TAK,280,2025-02-13
46,Risperidon,TAK,199,2023-03-19
47,Salmeterol,TAK,455,2023-08-19
48,Sildenafil,TAK,184,2016-11-29
49,Rosuwastatyna,TAK,455,2020-11-30
50,Tiotropium,TAK,60,2026-03-21
51,Abirateron,TAK,373,2027-12-21
52,Alendronat,TAK,64,2017-05-04
53,Aripiprazol,TAK,253,2024-07-06
54,Azitromycyna,TAK,329,2029-05-16
55,Baclofen,TAK,140,2029-02-28
56,Benazepril,TAK,494,2019-09-04
57,Bisacodyl,NIE,316,2022-08-09
58,Bromazepam,TAK,144,2019-09-30
59,Budesonid-formoterol,TAK,30,2028-07-02
60,Bupropion,TAK,338,2024-08-11
61,Buspiron,TAK,176,2015-07-22
62,Candesartan,TAK,283,2023-11-30
63,Ceftazidym,TAK,397,2026-07-20
64,Ceftriakson,TAK,98,2027-04-24
65,Cephalexin,TAK,325,2017-02-05
66,Clindamycyna,TAK,23,2027-01-07
67,Co-Trimoksazol,TAK,251,2021-05-16
68,Dapagliflozyna,TAK,274,2023-01-10
69,Dabigatran,TAK,355,2015-07-17
70,Desloratadyna,NIE,62,2020-04-14
71,Duloksetyna,TAK,395,2024-10-22
72,Edoxaban,TAK,349,2016-08-31
73,Empagliflozyna,TAK,101,2023-12-17
74,Enalapryl,TAK,376,2018-02-21
75,Ertapenem,TAK,453,2026-09-22
76,Esomeprazol,TAK,464,2024-04-20
77,Estradiol,TAK,437,2021-11-16
78,Exenatyd,TAK,273,2019-11-30
79,Famotydyna,NIE,440,2016-10-21
80,Fentanyl,TAK,44,2022-09-12
81,Finasteryd,TAK,215,2018-10-01
82,Flutykazon,TAK,90,2020-06-09
83,Gemfibrozyl,TAK,429,2015-05-27
84,Gliclazyd,TAK,59,2023-10-25
85,Granisetron,TAK,369,2022-12-21
86,Haloperidol,TAK,397,2019-10-01
87,Imipenem,TAK,11,2020-01-18
88,Indapamid,TAK,399,2016-05-03
89,Ipratropium,TAK,63,2023-02-24
90,Irbesartan,TAK,115,2020-05-13
91,Ivabradyna,TAK,269,2021-07-13
92,Ketokonazol,TAK,319,2022-12-29
93,Ketorolac,TAK,486,2027-12-20
94,Lansoprazol,TAK,200,2019-12-08
95,Levetiracetam,TAK,411,2026-02-13
96,Lidokaina,TAK,227,2024-03-23
97,Linezolid,TAK,53,2015-09-20
98,Lorazepam,TAK,171,2016-09-15
99,Loperamid,NIE,211,2017-10-13
100,Meloxicam,TAK,455,2024-12-22
101,Meropenem,TAK,493,2028-08-16
102,Metoclopramid,TAK,279,2020-08-11
103,Mirtazapina,TAK,360,2025-03-12
104,Morfina,TAK,313,2027-06-15
105,Nalokson,TAK,280,2023-07-06
106,Netupitant,TAK,465,2026-03-14
107,Nizatidyna,TAK,471,2020-08-18
108,Somatropina,TAK,224,2023-09-06
109,Oxybutynina,TAK,261,2019-08-10
110,Palonosetron,TAK,199,2021-03-05
111,Pantoprazol,TAK,305,2018-02-28
112,Paroxetyna,TAK,222,2027-04-27
113,Pegfilgrastym,TAK,217,2023-09-27
114,Perindopryl,TAK,246,2019-08-24
115,Phenobarbital,TAK,347,2025-12-05
116,Piracetam,TAK,376,2027-12-07
117,Pioglitazon,TAK,62,2027-10-27
118,Piroksykam,TAK,289,2019-07-07
119,Pramipeksol,TAK,419,2018-12-16
120,Pregabalina,TAK,226,2026-07-01
121,Rabeprazol,TAK,261,2025-09-28
122,Ramelteon,TAK,197,2015-09-11
123,Rivaroksaban,TAK,389,2023-09-19
124,Rivastigmina,TAK,50,2022-01-01
125,Sitagliptin,TAK,166,2015-04-09
126,Spironolakton,TAK,24,2021-01-09
127,Sumatriptan,TAK,310,2023-02-09
128,Sulbutiamina,NIE,74,2028-08-13
129,Tadalafil,TAK,354,2027-02-20
130,Tamoxifen,TAK,336,2025-05-05
131,Tenofovir,TAK,18,2022-11-09
132,Terbinafina,TAK,353,2023-11-09
133,Tetracyklina,TAK,138,2025-05-19
134,Topiramat,TAK,145,2017-08-14
135,Tramadol,TAK,481,2026-02-19
136,Triazolam,TAK,72,2015-06-10
137,Trazodon,TAK,148,2027-04-21
138,Valacyklovir,TAK,90,2018-07-24
139,Valproinian,TAK,401,2028-06-12
140,Valsartan,TAK,172,2025-12-01
141,Vardenafil,TAK,428,2019-03-08
142,Venlafaksyna,TAK,298,2029-05-21
143,Verapamil,TAK,388,2018-05-03
144,Vildagliptyna,TAK,270,2027-04-24
145,Vitamin B12,NIE,499,2027-12-19
146,Zolpidem,TAK,240,2023-07-02
147,Zopiclon,TAK,50,2022-06-28
148,Aciclovir,TAK,37,2027-06-22
149,Amantadyna,TAK,144,2017-08-12
150,Anastrozol,TAK,210,2027-07-02
151,Azatiopryna,TAK,337,2024-06-08
152,Betahistyna,TAK,277,2017-11-11
153,Bromocriptyna,TAK,427,2019-08-21
154,Bupivakaina,TAK,42,2024-05-29
155,Chlordiazepoksyd,TAK,57,2016-07-16
156,Cinnarizina,NIE,416,2021-10-21
157,Clobazam,TAK,71,2024-03-08
158,Clomifen,TAK,225,2015-08-14
159,Clonidine,TAK,302,2028-05-25
160,Cyclobenzaprine,TAK,108,2017-08-17
161,Dabrafenib,TAK,181,2027-06-15
162,Darunavir,TAK,369,2023-05-26
163,Dextroamphetamine,TAK,223,2017-03-26
164,Doxycyclina,TAK,484,2028-01-07
165,Elbasvir,TAK,44,2027-09-17
166,Elexacaftor,TAK,458,2023-07-18
167,Enoxaparin,TAK,236,2015-01-17
168,Ertugliflozyna,TAK,110,2018-05-28
169,Fingolimod,TAK,440,2021-01-14
170,Fluconazol,TAK,471,2021-11-29
171,Fluvastatyna,TAK,140,2017-12-05
172,Galantamina,TAK,266,2024-06-06
173,Gemcitabina,TAK,14,2022-01-09
174,Glimepiryd,TAK,227,2017-11-26
175,Glipizid,TAK,264,2021-05-16
176,Glyburide,TAK,407,2024-05-13
177,Imatinib,TAK,368,2015-10-29
178,Indomethacyna,TAK,292,2026-09-16
179,Irinotekan,TAK,402,2016-08-29
180,Isotretinoina,TAK,216,2023-09-06
181,Labetalol,TAK,24,2016-11-30
182,Levofloxacin,TAK,355,2028-12-06
183,Lorcaserin,TAK,51,2018-02-13
184,Lurasidone,TAK,389,2015-07-10
185,Mannitol,TAK,470,2021-04-19
186,Melphalan,TAK,188,2017-09-07
187,Methotreksat,TAK,72,2023-02-23
188,Micafungin,TAK,361,2018-03-30
189,Mometazon,TAK,240,2024-02-10
190,Morphine,TAK,250,2024-04-17
191,Nalbuphine,TAK,61,2015-05-08
192,Nebivolol,TAK,105,2020-08-27
193,Nifedypina,TAK,397,2019-12-22
194,Nimodipina,TAK,231,2016-07-23
195,Olmesartan,TAK,494,2020-03-10
196,Oseltamivir,TAK,416,2022-06-26
197,Palbociclib,TAK,240,2025-07-30
198,Paroxetine,TAK,246,2027-12-05
199,Pegaspargase,TAK,152,2025-12-28
200,Ponatinib,TAK,180,2022-12-11
